id,source,text,created
874084433460154368,iPhone,"My daughter, Ivanka, will be on @foxandfriends tomorrow morning. Enjoy!",2017-06-12T02:02:23Z
873884774041079808,iPhone,"The Democrats have no message,  not on economics, not on taxes,  not on jobs, not on failing #Obamacare. They are only OBSTRUCTIONISTS!",2017-06-11T12:49:00Z
873879934040780801,iPhone,I believe the James Comey leaks will be far more prevalent than anyone ever thought possible. Totally illegal? Very 'cowardly!',2017-06-11T12:29:46Z
873878232264822784,iPhone,"...way up. Regulations way down. 600,000+ new jobs added. Unemployment down to 4.3%. Business and economic enthusiasm way up- record levels!",2017-06-11T12:23:01Z
873878061778907137,iPhone,The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling &amp; energy sector...,2017-06-11T12:22:20Z
873183401620230144,iPhone,Congratulations to Jeb Hensarling &amp; Republicans on successful House vote to repeal major parts of the 2010 Dodd-Frank financial law. GROWTH!,2017-06-09T14:22:00Z
873131235614347264,iPhone,Great reporting by @foxandfriends and so many others. Thank you!,2017-06-09T10:54:43Z
873120139222306817,iPhone,"Despite so many false statements and lies, total and complete vindication...and WOW, Comey is a leaker!",2017-06-09T10:10:37Z
872427222392504320,iPhone,"Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare &amp; also Infrastructure!",2017-06-07T12:17:13Z
872419018799550464,iPhone,"I will be nominating Christopher A. Wray, a man of impeccable credentials, to be the new Director of the FBI. Details to follow.",2017-06-07T11:44:37Z
872258719404482561,iPhone,Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We can’t tolerate substandard care for our vets.,2017-06-07T01:07:39Z
872253002266161153,iPhone,"#ICYMI: Announcement of Air Traffic Control Initiative 

Watch➡️https://t.co/IMiZr22gAw",2017-06-07T00:44:56Z
872147965451882496,iPhone,Today we remember the courage and bravery of our troops that stormed the beaches of Normandy 73 years ago. #DDay… https://t.co/zhR24dMzYB,2017-06-06T17:47:33Z
872086906804240384,iPhone,"...extremism, and all reference was pointing to Qatar. Perhaps this will be the beginning of the end to the horror of terrorism!",2017-06-06T13:44:55Z
872084870620520448,iPhone,So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding...,2017-06-06T13:36:50Z
872064426568036353,iPhone,"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH",2017-06-06T12:15:36Z
872062159789985792,iPhone,During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!,2017-06-06T12:06:35Z
872059997429022722,iPhone,The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.,2017-06-06T11:58:00Z
872043300949295104,iPhone,Big meeting today with Republican leadership concerning Tax Cuts and Healthcare. We are all pushing hard - must get it right!,2017-06-06T10:51:39Z
871899511525961728,iPhone,"That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!",2017-06-06T01:20:17Z
871725780535062528,iPhone,"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!",2017-06-05T13:49:56Z
871722020278587393,iPhone,".@foxandfriends  Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.",2017-06-05T13:35:00Z
871679061847879682,iPhone,In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political!,2017-06-05T10:44:18Z
